LineString Name, Average Difference (2D vs 3D), Minimum Distance, Pre-filter Points, Post-filter Points
13, 0.0472299120264571, 2, 2577, 2130
Team 13 K9 Oso , 0.038439548417088, 2, 3893, 3472
Segment 1, 0.0198707388470068, 2, 22, 21
Team 29 K9 Nate, 0.108216896050236, 2, 4054, 3574
Segment 3, 2.26332126300052, 2, 7, 6
Team 22 K9 R2 PM, 0.0482477362322253, 2, 2707, 2320
Segment 2, 0.0252427666709922, 2, 32, 32
Team 22 K9 R2 AM, 0.00676246800940029, 2, 2156, 1648
Team 13 Handler , 0.0759061356756629, 2, 1456, 1213
Team 29 Handler, 0.155530813424084, 2, 1659, 1473
Team 22 Handler, 0.029234932876192, 2, 1735, 1336
